city,country,region,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Heidelberg,Germany,Europe,-1.1485585980752842,2.153485965982034,-0.10599742046641113,-1.3385506387606203,-1.1691586720725216,-0.1765547904926451,-1.0525209267807232,0.0680445647954457,0.9441838714064169,0.01203127060017974,1.4046273705724304,-0.2738143776964619,0.667964164476966,1.0222162169518811,0.9071156950941341,0.9855264706769294,0.4898350639205922,-0.5009898540433934
Hobart,Australia,Oceania,1.700978075710745,0.5212024447818432,0.8596074106093863,0.20750801886260392,-0.9373599010729938,-2.5470725875574685,-1.7300368782711875,1.1113516179666794,1.607825653084328,-0.16356064158352288,1.9741735231904085,0.9839972845962797,-0.7127544047117516,-0.5967187825428976,0.9875107717526154,0.11275565798361915,-0.041428775530253134,0.43381346046004343
Nagasaki,Japan,Asia,-1.269539349833884,1.8554130175048045,0.6345102941736716,-0.5105850577761201,-0.1906332725706312,-0.34608526370789255,-1.4009213605156623,0.2887177974841998,1.7513870326990968,-1.4019044907087368,0.5098759876029134,-0.7303773588270066,0.5947970204146478,0.7769295643611421,0.15692656566246402,0.8398006787240958,-0.009458609379216325,-0.24882629779144474
Utrecht,Netherlands,Europe,-1.7638581174767174,0.7187719146796855,-0.10237795647364213,-1.7223237710604662,-1.2708616849000314,-0.2543815341788644,-0.13331510484058387,1.7758991598287137,0.5945863663146066,-0.9525263326974205,0.27836967879036323,-1.2197524289361936,0.724045221513239,0.6353486151926568,-0.06286785487661474,1.1505098808743206,0.8236327691247132,-0.6616098677579402
Bagan,Myanmar,Asia,2.155829131178798,2.799426780377701,0.11052576406447079,-1.5119309632471278,2.6161301161455657,-1.528721264782127,2.7255114433311434,-0.4799246657678896,1.7419563334302515,-0.009071086124693168,0.10162145482297126,1.53218143045435,0.5867866138172089,-0.5008812982037649,-0.57475351623612,0.9559921665888804,0.4826090062872881,-0.6547125017155073
Malmö,Sweden,Europe,-1.6366533606900986,1.0276799355446775,0.057043272029098764,-0.9140221308141636,-1.3073438264090236,-0.04116588489093,-1.0060411679323777,0.9291522383202322,0.4911629748583324,-1.3445598216300148,0.7445247178614699,-0.6016809490732442,1.0264401442003241,0.16642964112083128,0.5792570797784679,0.5770143755429955,-0.35461838322436195,-0.15276117854494883
Amsterdam,Netherlands,Europe,-2.880690821351008,-1.3524360735583905,0.30845313784430667,-1.447673829580252,-1.3209656305014594,-0.7825311471461334,-0.01790426429692804,1.4952226622044302,0.35334822158737966,-0.4786327818403691,-0.2733169919411947,-0.3118625240888592,-0.09191622924754012,0.1992828553605251,1.1149096407243326,1.0404242310527683,0.03248275523197606,-0.47015753802928406
New York,United States,North_America,-2.6864589847930067,-3.7596095763369948,-0.2945671903778375,-2.8655596473695844,1.0991850722644072,0.0874225887015178,0.03069754939565105,-0.4670469320198348,-1.1095144561102506,0.2345787641357884,0.14236925684277954,-0.2690998309807869,1.9820809224774922,0.1307045346341263,-0.26087477815672355,0.32431615843649175,-0.04587612494571125,1.0449971338620911
Chicago,United States,North_America,-2.990415846288878,-2.8528912801861037,-0.5386335911443463,-1.938662337219288,0.036650920225592416,0.3382264980971591,0.4700449504917447,-0.0483716791106388,-0.4760996459805022,0.21872662701824333,-0.13376669126796206,1.0590956017911421,0.9474645159300726,0.44216573664287595,-0.38074077680996354,-0.24425726950716722,1.0486133296125566,-0.49131658809070455
Raleigh,United States,North_America,-1.0015238609548527,1.0323364515507705,-0.8129508732038274,0.07978703780196199,-0.2343140998276421,1.102599135326373,0.14491333164310136,-0.08026292484023682,-0.3134869550179226,0.016217200709953934,0.9393988788941812,-0.18771149111786645,0.7905341165987313,0.4645743985601505,-0.34479021322202535,0.0835644059878233,0.18507686903238865,0.593044614041665
